,title,description,publishedAt
366,House Oversight Committee moves to subpoena border agency over lewd social media posts - CNNPolitics,"The Democratic-led House Oversight Committee plans to subpoena US Customs and Border Protection for documents relating to inappropriate or derogatory social media posts or the Facebook groups that had such posts, according to a memo obtained by CNN. ",2020-10-30
367,Digital political operatives turn to TikTok to get out the vote - CNNPolitics,"TikTok is the latest political battlefield in the 2020 election, with groups on the left and right, as well as nonpartisan civic organizations, putting money behind TikTok creators to turn out the youth vote. ",2020-10-30
368,Opinion: Why Jews should vote for Joe Biden - CNN,"I have devoted my life to fighting anti-Semitism, defending Israel's security and seeking restitution for Holocaust survivors, writes Stuart E. Eizenstat. I can proudly affirm that Biden has been a highly outspoken and effective leader for these causes. ",2020-10-30
369,Digital political operatives turn to TikTok to get out the vote - CNNPolitics,"TikTok is the latest political battlefield in the 2020 election, with groups on the left and right, as well as nonpartisan civic organizations, putting money behind TikTok creators to turn out the youth vote. ",2020-10-30
370,Here's where Trump and Biden stand on Middle East policy - CNN Video,CNN's Sam Kiley breaks down where President Donald Trump and Democratic presidential nominee Joe Biden's stand with regard to their Middle East policy.,2020-10-30
371,"A once purple state, to Democratic stronghold? - CNN Video","In Colorado, Sen. Cory Gardner, a conservative Republican, is in a close fight with former Democratic presidential candidate and Governor, John Hickenlooper. ",2020-10-30
372,78 seconds that will actually make you feel good about politics - CNNPolitics,"The end of a presidential campaign is always a nasty thing. Wanting to leave no political attack un-launched, both sides tend to drop as much opposition research as they can onto their opponent right before voters got to the polls to pick the next leader of the country.",2020-10-30
373,CNN Political Briefing - Podcast on CNN Audio,"The political news you need to know, in 10 minutes or less. Hosted by David Chalian.",2020-10-30
374,How Wikipedia will fight Election Day misinformation,Staffers at Wikipedia's parent organization and the volunteer editors who maintain its millions of pages have a plan to ensure that election-related entries aren't improperly edited.,2020-10-30
375,The congressional candidates who have engaged with the QAnon conspiracy theory,"Nearly two dozen Republicans across the country who have engaged with the QAnon conspiracy will also appear on the ballot this November in their congressional districts – or in two cases, statewide as Senate candidates – as well as one unaffiliated independent candidate and one Independent Party candidate.",2020-10-30
376,Opinion: Why Jews should vote for Joe Biden - CNN,"I have devoted my life to fighting anti-Semitism, defending Israel's security and seeking restitution for Holocaust survivors, writes Stuart E. Eizenstat. I can proudly affirm that Biden has been a highly outspoken and effective leader for these causes. ",2020-10-30
377,"Democrats uneasy about higher Republican turnout in important Florida county
 - CNNPolitics","Republicans in Florida's most populous county, Miami-Dade, are turning out to vote at a somewhat higher percentage than Democrats -- causing uneasiness among some Democratic operatives.",2020-10-31
378,Formerly incarcerated man and first-time voter energizes others to cast their ballots  - CNN,"Lester Young will be voting for the first time at age 48. He's ready to wait in line on Election Day, and he'll arrive with several other formerly incarcerated men to send a clear message.",2020-10-31
379,Opinion: A powerful way for the GOP to show they care about voting - CNN,"A conservative group's ill-advised legal challenges to private donors' efforts to help states and localities pay for holding elections present an opportunity for Republicans to intervene on behalf of those places to show they are on the side of the voters and voting, writes Benjamin Ginsberg",2020-10-31
380,"Democrats uneasy about higher Republican turnout in important Florida county
 - CNNPolitics","Republicans in Florida's most populous county, Miami-Dade, are turning out to vote at a somewhat higher percentage than Democrats -- causing uneasiness among some Democratic operatives.",2020-10-31
381,US records its highest single-day record for Covid-19 infections,"There have been 89,361 daily new coronavirus cases in the United States, according to data from Johns Hopkins University. ",2020-10-31
382,"Democrats uneasy about higher Republican turnout in important Florida county
 - CNNPolitics","Republicans in Florida's most populous county, Miami-Dade, are turning out to vote at a somewhat higher percentage than Democrats -- causing uneasiness among some Democratic operatives.",2020-10-31
383,"Democrats uneasy about higher Republican turnout in important Florida county
 - CNNPolitics","Republicans in Florida's most populous county, Miami-Dade, are turning out to vote at a somewhat higher percentage than Democrats -- causing uneasiness among some Democratic operatives.",2020-10-31
384,Longtime Florida GOP official says he's voting for Joe Biden - CNN Video,"Pasco County, Florida, tax collector Mike Fasano, who prevoiusly served as the Florida House majority leader and president pro tempore of the Florida Senate, explains why he is going to be voting for Democrat Joe Biden in the 2020 election instead of his party's candidate.",2020-10-31
